Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastp | SRR30333748_1	(1, 38.311747275685)	(2, 38.853149442536356)	(3, 38.865903268543846)	(4, 38.99669756218878)	(5, 38.96951751844133)	(6, 38.904240369467175)	(7, 38.9427624532012)	(8, 38.96817415766988)	(9, 38.96670567825411)	(10, 38.94063787774174)	(15, 39.276109284508905)	(20, 39.31291318422812)	(25, 39.13197336088988)	(30, 39.075835502493376)	(35, 39.06529092579425)	(40, 39.065289458064036)	(45, 39.1014347839935)	(50, 39.07113021322236)	(55, 39.04911252494749)	(60, 39.032923834974966)	(65, 39.014069284860504)	(70, 38.98348197073401)	(75, 38.96457584590503)	(80, 38.936155268340755)	(85, 38.89890398226621)	(90, 38.86346461431622)	(95, 38.831381282829184)	(100, 38.76525059981393)	(105, 38.778120046482094)	(110, 38.737124706484636)	(115, 38.715609175848904)	(120, 38.66673853255861)	(125, 38.67733533025557)	(130, 38.656969199812735)	(135, 38.61872360931822)	(140, 38.6591126043859)	(145, 38.766057797770465)	(150, 38.63941884049875)
fastp | SRR30333748_2	(1, 38.30695113497053)	(2, 38.935065722404566)	(3, 39.074725778599195)	(4, 39.122034450717976)	(5, 39.1232799614802)	(6, 39.13992308754638)	(7, 39.164209199831866)	(8, 39.16994065473039)	(9, 39.20349851515147)	(10, 39.221249223418596)	(15, 39.27948561080895)	(20, 39.2619632234577)	(25, 39.08696774695962)	(30, 39.027468484741505)	(35, 39.02837714769779)	(40, 39.01464727307289)	(45, 38.992584481905986)	(50, 38.946368389503576)	(55, 38.97748622270641)	(60, 38.950889148742434)	(65, 38.922156015526824)	(70, 38.89347559341934)	(75, 38.83930400748521)	(80, 38.802085255639206)	(85, 38.79357570985709)	(90, 38.779556667066075)	(95, 38.75547193536535)	(100, 38.6865777477833)	(105, 38.67148733578349)	(110, 38.627382938265534)	(115, 38.61066131171425)	(120, 38.55867812709353)	(125, 38.531706055985254)	(130, 38.47547487442548)	(135, 38.45282807206381)	(140, 38.42205968084157)	(145, 38.50736039869689)	(150, 38.34519530234533)
fastp | SRR30333749_1	(1, 38.29960051268468)	(2, 38.88022004613172)	(3, 38.921137587025115)	(4, 39.04146356260751)	(5, 39.03351633882536)	(6, 39.04271652612566)	(7, 39.03597281746663)	(8, 39.07488982642221)	(9, 39.08116926959458)	(10, 39.06934467256998)	(15, 39.35999726989142)	(20, 39.39664232242474)	(25, 39.226410852088705)	(30, 39.17997805048195)	(35, 39.178781485249786)	(40, 39.178570289614626)	(45, 39.20945396151161)	(50, 39.18501956082505)	(55, 39.16819530666973)	(60, 39.154711858844124)	(65, 39.14099989699398)	(70, 39.11883210489926)	(75, 39.100989270363414)	(80, 39.08004259970393)	(85, 39.04940562487283)	(90, 39.01739703215705)	(95, 38.993772876465485)	(100, 38.94107457098377)	(105, 38.94983372339424)	(110, 38.917748261823235)	(115, 38.894710357081635)	(120, 38.85495510668138)	(125, 38.860585665262036)	(130, 38.83829415097377)	(135, 38.81164271545726)	(140, 38.84135756964175)	(145, 38.93393489734634)	(150, 38.762453692290244)
fastp | SRR30333749_2	(1, 38.55205673982785)	(2, 38.98251395640323)	(3, 39.15074033688209)	(4, 39.17475770866817)	(5, 39.237346879252975)	(6, 39.28423366943539)	(7, 39.28324450807475)	(8, 39.29116178423738)	(9, 39.30834591404197)	(10, 39.32281799670855)	(15, 39.36354326150315)	(20, 39.3582872453398)	(25, 39.19925169643205)	(30, 39.141988149077896)	(35, 39.14282291847509)	(40, 39.1270672986263)	(45, 39.11439225171845)	(50, 39.07715730702854)	(55, 39.09768370208768)	(60, 39.07998908964948)	(65, 39.05840618523987)	(70, 39.03665194188794)	(75, 38.99561114933852)	(80, 38.96420327150714)	(85, 38.95421438927948)	(90, 38.94120292878314)	(95, 38.919252786935786)	(100, 38.86544420705668)	(105, 38.853832217379214)	(110, 38.819137663172384)	(115, 38.801578999492975)	(120, 38.76402927974949)	(125, 38.74064487989304)	(130, 38.70492823042805)	(135, 38.68934302424766)	(140, 38.67607989732327)	(145, 38.75823311775205)	(150, 38.56484945277073)
fastp | SRR30333750_1	(1, 38.33312989153586)	(2, 38.86718676769073)	(3, 38.86821909656838)	(4, 38.9988761397149)	(5, 38.96354435905122)	(6, 38.887840073788155)	(7, 38.92097977971828)	(8, 38.947142565020165)	(9, 38.94842957317516)	(10, 38.91861533050146)	(15, 39.26582335575254)	(20, 39.30575266581841)	(25, 39.126254533260195)	(30, 39.0694368867277)	(35, 39.06268477920812)	(40, 39.06226973575921)	(45, 39.10139234118693)	(50, 39.07049985497224)	(55, 39.05064406711331)	(60, 39.034611634982205)	(65, 39.017441244662486)	(70, 38.988672137776994)	(75, 38.9711864001364)	(80, 38.945169542514726)	(85, 38.90786516826173)	(90, 38.87589282474609)	(95, 38.843120538776006)	(100, 38.778876314745794)	(105, 38.792585252297854)	(110, 38.75326292341867)	(115, 38.73083455666951)	(120, 38.68324692808163)	(125, 38.69488634695245)	(130, 38.67505724394115)	(135, 38.63602931885511)	(140, 38.67736807810893)	(145, 38.77924070670623)	(150, 38.653736659020254)
fastp | SRR30333750_2	(1, 38.2901181733502)	(2, 38.97993896050019)	(3, 39.102703188897)	(4, 39.15303397806711)	(5, 39.17001605105898)	(6, 39.181289495396285)	(7, 39.198055481567344)	(8, 39.19922160793962)	(9, 39.23669728077087)	(10, 39.25019761039221)	(15, 39.303167829699454)	(20, 39.280448241715305)	(25, 39.115257809984044)	(30, 39.0584097161378)	(35, 39.05872588821968)	(40, 39.044017524304834)	(45, 39.019136489682396)	(50, 38.973295875879664)	(55, 39.00534921335678)	(60, 38.98006522222829)	(65, 38.950298834828764)	(70, 38.92295561667258)	(75, 38.86773422363425)	(80, 38.830976138219214)	(85, 38.82195036598797)	(90, 38.808359218781746)	(95, 38.78440345993364)	(100, 38.714366146626745)	(105, 38.700110004280056)	(110, 38.655682247271585)	(115, 38.64043754180278)	(120, 38.587098308005025)	(125, 38.56110167867179)	(130, 38.50376817552044)	(135, 38.479160894291226)	(140, 38.445546924076424)	(145, 38.521511084556145)	(150, 38.362672082426926)
fastp | SRR30333751_1	(1, 38.330915235522475)	(2, 38.852340821777496)	(3, 38.860419844323154)	(4, 39.00503114473227)	(5, 38.987565299153005)	(6, 38.92812556140532)	(7, 38.963691642323255)	(8, 38.99050487882653)	(9, 38.992519541927464)	(10, 38.96607078519665)	(15, 39.29163916121287)	(20, 39.32512070009898)	(25, 39.14355586168494)	(30, 39.08688430422917)	(35, 39.07085464840303)	(40, 39.06932847408978)	(45, 39.10472533390858)	(50, 39.07369945517754)	(55, 39.04974046621134)	(60, 39.03288993977376)	(65, 39.01201026948808)	(70, 38.981753655210504)	(75, 38.96089442503003)	(80, 38.931833757688835)	(85, 38.89347531745238)	(90, 38.85713304269187)	(95, 38.823062945791705)	(100, 38.75385518080925)	(105, 38.76942859605882)	(110, 38.72783928183818)	(115, 38.70442573231837)	(120, 38.65428464607517)	(125, 38.66793944120642)	(130, 38.64580212291594)	(135, 38.61087753374876)	(140, 38.6540581672393)	(145, 38.767230391470335)	(150, 38.639455231945675)
fastp | SRR30333751_2	(1, 38.532720736511074)	(2, 39.05528174326404)	(3, 39.19045905161366)	(4, 39.21680751249339)	(5, 39.17825643956718)	(6, 39.21268661409388)	(7, 39.24283330284976)	(8, 39.250358818181176)	(9, 39.28415639701601)	(10, 39.29735980721698)	(15, 39.34842964426762)	(20, 39.33016550590808)	(25, 39.18347357303932)	(30, 39.13000904804682)	(35, 39.12884735204176)	(40, 39.11290920365464)	(45, 39.09006373672626)	(50, 39.04244996670023)	(55, 39.07373894110883)	(60, 39.048522489502176)	(65, 39.02098273657615)	(70, 38.99383891026484)	(75, 38.94063744861296)	(80, 38.9035666216121)	(85, 38.89533191628616)	(90, 38.882475862173614)	(95, 38.85928496474453)	(100, 38.79010299438117)	(105, 38.77887704774087)	(110, 38.735450691580276)	(115, 38.71962694461756)	(120, 38.66960469295375)	(125, 38.64559954933553)	(130, 38.5880433374314)	(135, 38.5682846741318)	(140, 38.53868669665477)	(145, 38.61814875171117)	(150, 38.43367848742166)
fastp | SRR30333752_1	(1, 38.284048688134)	(2, 38.83733227560571)	(3, 38.82892884816958)	(4, 38.96550273050018)	(5, 38.93057209291852)	(6, 38.854265628608815)	(7, 38.891727513581316)	(8, 38.915277104260205)	(9, 38.912461019052344)	(10, 38.883408089515534)	(15, 39.24429158260152)	(20, 39.29089504268131)	(25, 39.106527999760544)	(30, 39.054144707946385)	(35, 39.045979814618605)	(40, 39.049627633614385)	(45, 39.089175013661055)	(50, 39.05935298636369)	(55, 39.03888597593665)	(60, 39.023846304780776)	(65, 39.00599646726154)	(70, 38.97707704186868)	(75, 38.95825841328159)	(80, 38.931276426963414)	(85, 38.89285603051037)	(90, 38.85959574760592)	(95, 38.82572247439894)	(100, 38.75955324366659)	(105, 38.77369087274324)	(110, 38.733001424465655)	(115, 38.70969529235595)	(120, 38.65997310625558)	(125, 38.67325711987105)	(130, 38.6526185547276)	(135, 38.613395563329625)	(140, 38.65401143788952)	(145, 38.7567818527411)	(150, 38.63039183359878)
fastp | SRR30333752_2	(1, 38.223563344702946)	(2, 38.88998133241075)	(3, 39.03419850751303)	(4, 39.09094352726548)	(5, 39.11196378035237)	(6, 39.134182796813256)	(7, 39.13448867714119)	(8, 39.14385374038184)	(9, 39.186649624084744)	(10, 39.212433818308234)	(15, 39.27187332811218)	(20, 39.25417299989241)	(25, 39.072904067383675)	(30, 39.01461388748982)	(35, 39.016889950408384)	(40, 39.005998303886884)	(45, 38.98357840203664)	(50, 38.93834450082189)	(55, 38.97116551736342)	(60, 38.94459249945117)	(65, 38.91662581411482)	(70, 38.889571598482995)	(75, 38.83415145485128)	(80, 38.79736933307997)	(85, 38.78942047789692)	(90, 38.7768700294514)	(95, 38.753753913346635)	(100, 38.683695427079535)	(105, 38.67079398977883)	(110, 38.626262461826315)	(115, 38.61191811657121)	(120, 38.559777765281794)	(125, 38.53492910032568)	(130, 38.47710775800981)	(135, 38.452492136313204)	(140, 38.4175081687935)	(145, 38.49406439003119)	(150, 38.34808730368489)
fastp | SRR30333753_1	(1, 37.956003587026615)	(2, 38.560460771537805)	(3, 38.533683248599075)	(4, 38.737689910219935)	(5, 38.71063580545611)	(6, 38.76107094868954)	(7, 38.74389978419109)	(8, 38.81082615731725)	(9, 38.846526864102614)	(10, 38.7655909478235)	(15, 39.14826331762316)	(20, 39.189877516628464)	(25, 38.949591712666354)	(30, 38.882884276812845)	(35, 38.85824778688816)	(40, 38.850130678763165)	(45, 38.9062897742445)	(50, 38.86990867815209)	(55, 38.833078912306576)	(60, 38.8185575043876)	(65, 38.80464217390045)	(70, 38.7806609765253)	(75, 38.76297620807572)	(80, 38.74936330069312)	(85, 38.71250316125881)	(90, 38.686127214599615)	(95, 38.648460343793666)	(100, 38.56944598125208)	(105, 38.611692524536934)	(110, 38.57659765387483)	(115, 38.553514687992546)	(120, 38.51137242652255)	(125, 38.554030467499985)	(130, 38.51564964128811)	(135, 38.51553468824706)	(140, 38.58046727119892)	(145, 38.713567307650095)	(150, 38.570040425799235)
fastp | SRR30333753_2	(1, 38.589655891169734)	(2, 38.950120694692494)	(3, 39.10369967019494)	(4, 39.1418596820893)	(5, 39.14218928657369)	(6, 39.211186217688)	(7, 39.172263882923914)	(8, 39.17560420760258)	(9, 39.21592508571954)	(10, 39.202195827234995)	(15, 39.260447580158456)	(20, 39.219615082236295)	(25, 39.04830002205763)	(30, 38.98670654427407)	(35, 38.9816139788213)	(40, 38.95316564839478)	(45, 38.936124644090846)	(50, 38.86976072429295)	(55, 38.90613690649402)	(60, 38.88357690980314)	(65, 38.86664695885826)	(70, 38.83394334585666)	(75, 38.781249690270194)	(80, 38.73179693601957)	(85, 38.715450543126096)	(90, 38.70580047248401)	(95, 38.67733897945895)	(100, 38.604572408437114)	(105, 38.60754779314825)	(110, 38.56519097223463)	(115, 38.55034689949629)	(120, 38.516849464641744)	(125, 38.50436551825742)	(130, 38.44643529555988)	(135, 38.44802266985899)	(140, 38.440171762740555)	(145, 38.5785427241126)	(150, 38.37921972053893)
fastp | SRR30333754_1	(1, 38.214123182884435)	(2, 38.77863551974084)	(3, 38.78420336667094)	(4, 38.97855674672567)	(5, 38.971869539059085)	(6, 38.93161682729712)	(7, 38.94256522380467)	(8, 38.98077527629073)	(9, 38.99414055816454)	(10, 38.96674991152729)	(15, 39.296085491473185)	(20, 39.327714767716365)	(25, 39.1447528101924)	(30, 39.08639940638068)	(35, 39.063640942975766)	(40, 39.05795143315308)	(45, 39.10186140806513)	(50, 39.0684843410487)	(55, 39.04312782104547)	(60, 39.024985346215054)	(65, 39.00494279756251)	(70, 38.97611666701489)	(75, 38.95295611419265)	(80, 38.927185418174965)	(85, 38.886144648155806)	(90, 38.852782797954056)	(95, 38.81442333304445)	(100, 38.744377702139424)	(105, 38.76476729810997)	(110, 38.72664166485526)	(115, 38.6982529484244)	(120, 38.64816705982932)	(125, 38.66750296630316)	(130, 38.64069912407658)	(135, 38.61139752014639)	(140, 38.66223455687463)	(145, 38.78265596135566)	(150, 38.650014037344036)
fastp | SRR30333754_2	(1, 38.40226470473134)	(2, 39.010839429832124)	(3, 39.162697444759104)	(4, 39.22533896858219)	(5, 39.219624576730205)	(6, 39.24981258489535)	(7, 39.21962605119001)	(8, 39.22327697749993)	(9, 39.26691980001492)	(10, 39.28023866097915)	(15, 39.331309885722604)	(20, 39.307181432258716)	(25, 39.15518741479747)	(30, 39.098923227759045)	(35, 39.09694260507299)	(40, 39.0774437044308)	(45, 39.05551402801058)	(50, 39.00199766440384)	(55, 39.03632857693437)	(60, 39.011685208185675)	(65, 38.98504579424424)	(70, 38.957088380070665)	(75, 38.89973808464727)	(80, 38.86061763478639)	(85, 38.849977730734125)	(90, 38.83857245343245)	(95, 38.81203739277481)	(100, 38.740763460554994)	(105, 38.73234392797396)	(110, 38.68793033526683)	(115, 38.6692518326945)	(120, 38.62009206569887)	(125, 38.59910838196792)	(130, 38.53452340755748)	(135, 38.51910457811586)	(140, 38.49644465928339)	(145, 38.60097383380965)	(150, 38.411088719074456)
fastp | SRR30333755_1	(1, 37.88531499436816)	(2, 38.494167342798136)	(3, 38.481036921441294)	(4, 38.649434432862996)	(5, 38.60140148324075)	(6, 38.68608034410688)	(7, 38.678999978239446)	(8, 38.750431169816245)	(9, 38.782807090624416)	(10, 38.70386780360376)	(15, 39.08563906081453)	(20, 39.13387799997721)	(25, 38.86685710259272)	(30, 38.798208368701474)	(35, 38.77852296815236)	(40, 38.77475448264551)	(45, 38.8224387300464)	(50, 38.7845649073658)	(55, 38.73998220221974)	(60, 38.724055624023755)	(65, 38.70429343727713)	(70, 38.673532359105536)	(75, 38.64766330957566)	(80, 38.62652452418766)	(85, 38.58381683322672)	(90, 38.548647463524865)	(95, 38.50184202188507)	(100, 38.41412340067341)	(105, 38.444878948094306)	(110, 38.3998969202955)	(115, 38.379535818857406)	(120, 38.33785809304094)	(125, 38.378862290197546)	(130, 38.34040647056288)	(135, 38.34757678375614)	(140, 38.415411181928256)	(145, 38.56804982743105)	(150, 38.41786684835421)
fastp | SRR30333755_2	(1, 38.54288098324541)	(2, 38.87147160403254)	(3, 39.052116990950715)	(4, 39.08635929367317)	(5, 39.09132500007772)	(6, 39.183094485357735)	(7, 39.14235629486171)	(8, 39.16728870762003)	(9, 39.191256920633045)	(10, 39.18303341073873)	(15, 39.24168422536057)	(20, 39.20342643741406)	(25, 39.02742728089454)	(30, 38.96399983388115)	(35, 38.957265658165866)	(40, 38.930019397857485)	(45, 38.91167612354025)	(50, 38.850137261900485)	(55, 38.87764353492712)	(60, 38.85357616236847)	(65, 38.83612508314743)	(70, 38.802482991513)	(75, 38.750747914783915)	(80, 38.69908884274891)	(85, 38.68095195263337)	(90, 38.66532848846373)	(95, 38.634440692519156)	(100, 38.56411771208381)	(105, 38.56052223128593)	(110, 38.5171617552164)	(115, 38.49978475427053)	(120, 38.46616915768787)	(125, 38.44513518114384)	(130, 38.395284216381405)	(135, 38.397008770311196)	(140, 38.3914881375225)	(145, 38.548764661489294)	(150, 38.324605125532244)
fastp | SRR30333756_1	(1, 38.21767805031926)	(2, 38.76157448593082)	(3, 38.74752860140486)	(4, 38.96654739124293)	(5, 38.96746634439476)	(6, 38.929016584426016)	(7, 38.917276199702734)	(8, 38.95241874346465)	(9, 38.96718248279899)	(10, 38.93629183925178)	(15, 39.288345916836356)	(20, 39.32551841288355)	(25, 39.146160067192184)	(30, 39.095746364443485)	(35, 39.06989536644021)	(40, 39.070055286317135)	(45, 39.11774137516352)	(50, 39.091264228686)	(55, 39.06384869735972)	(60, 39.05058039323425)	(65, 39.03346693710246)	(70, 39.0106967032524)	(75, 38.99063315708366)	(80, 38.968416343911734)	(85, 38.93284346092837)	(90, 38.902056277884995)	(95, 38.86873542798802)	(100, 38.796707982302294)	(105, 38.828456489758935)	(110, 38.7914257453305)	(115, 38.76486827780937)	(120, 38.714032818231864)	(125, 38.74070804527681)	(130, 38.70807721411599)	(135, 38.681891028838585)	(140, 38.73285653683505)	(145, 38.84259619865447)	(150, 38.70924032232455)
